run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_32b0717045f9,active,H2,PAY_f33977e8c195,1,1456,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H2,PAY_3d887f4fef2f,1,500,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H1,PAY_ff33f2bc0d84,2,5998,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H1,PAY_f26a00fbb79f,2,500,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H5,PAY_1b8be1c47136,8,2590,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H5,PAY_d1f28f75ba3c,8,500,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H4,PAY_6b6056723f95,9,1315,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H4,PAY_b7b3428b020d,9,500,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H3,PAY_6bc0e8f765df,10,1139,repaid,0,0,0,no_trade
balanced_active_32b0717045f9,active,H3,PAY_070e2db2d035,10,500,repaid,0,0,0,no_trade
